"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 10 15:23:56 UTC 2021","Fri Sep 10 15:23:58 UTC 2021","2000","","ubuntu1804-i386-container","","","","QA 338","PCP QA Test No. 338

pmlogger_daily ... do you work at all?



NEW VERSION for YYYYDDMM style naming convention (see also 530)



Copyright (c) 2008 Silicon Graphics, Inc.  All Rights Reserved.



check-group-include: pmlogrewrite pmlogextract



"
"passed","Fri Sep 10 15:24:29 UTC 2021","Fri Sep 10 15:24:30 UTC 2021","1000","","debian11-container","","","","QA 1229","PCP QA Test No. 1229

Test support for labels and help text in pmlogextract.

Specifically: test successful consistency checking of help text by extracting

the same archive twice.



Copyright (c) 2018 Red Hat.  All Rights Reserved.



"
"passed","Fri Sep 10 15:21:19 UTC 2021","Fri Sep 10 15:21:19 UTC 2021","0","","ubuntu1604-container","","","","QA 738","PCP QA Test No. 738

Exercise pmlogmv



Copyright (c) 2014 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:23:43 UTC 2021","Fri Sep 10 15:23:44 UTC 2021","1000","","fedora35-container","","","","QA 234","PCP QA Test No. 234

pmlogsummary exerciser



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:27:39 UTC 2021","Fri Sep 10 15:27:41 UTC 2021","2000","","fedora34-container","","","","QA 080","PCP QA Test No. 080

exercise new options to pmval: -r -z -Z -S -p



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:20:25 UTC 2021","Fri Sep 10 15:20:25 UTC 2021","0","","centos7-container","","","","QA 401","PCP QA Test No. 401

quick pminfo -x check (400 does a better job, but you need to have

valgrind available)



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:22:43 UTC 2021","Fri Sep 10 15:22:44 UTC 2021","1000","","fedora35-container","","","","QA 153","PCP QA Test No. 153

Check out pmafm/mkaf changes to no longer use file(1)



Copyright (c) 2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:23:51 UTC 2021","Fri Sep 10 15:23:51 UTC 2021","0","","debian11-container","","","","QA 369","PCP QA Test No. 369

Check out libpcp_import



Copyright (c) 2012 Red Hat.

Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:22:41 UTC 2021","Fri Sep 10 15:22:41 UTC 2021","0","","ubuntu1804-i386-container","","","","QA 085","PCP QA Test No. 085

pmlogger specs with internal instance identifiers



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:30:11 UTC 2021","Fri Sep 10 15:30:12 UTC 2021","1000","","fedora-rawhide-container","","","","QA 548","PCP QA Test No. 548

nomatch_inst for pmie



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:19:04 UTC 2021","Fri Sep 10 15:19:07 UTC 2021","3000","","centos8-container","","","","QA 201","PCP QA Test No. 201

exercise pmdaCache routines



Copyright (C) 2015 Red Hat.

Copyright (c) 2005 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:27:39 UTC 2021","Fri Sep 10 15:27:39 UTC 2021","0","","fedora34-container","","","","QA 074","PCP QA Test No. 074

permuted pmids for pmFetch, across multiple PMDAs



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:28:59 UTC 2021","Fri Sep 10 15:29:00 UTC 2021","1000","","fedora34-container","","","","QA 263","PCP QA Test No. 263



Exercise aggregate functions for derived metrics



Copyright (c) 2009 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:22:09 UTC 2021","Fri Sep 10 15:22:10 UTC 2021","1000","","fedora35-container","","","","QA 007","PCP QA Test No. 007

exercise optFetch routines



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:21:55 UTC 2021","Fri Sep 10 15:21:56 UTC 2021","1000","","ubuntu2004-container","","","","QA 561","PCP QA Test No. 561

Exercise pmMergeLabels(3) handling of various input data.



Copyright (c) 2016-2017 Red Hat.



"
"passed","Fri Sep 10 15:18:53 UTC 2021","Fri Sep 10 15:18:53 UTC 2021","0","","ubuntu1604-container","","","","QA 002","PCP QA Test No. 002

simplest possible verification of a pmcd and agent



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:20:22 UTC 2021","Fri Sep 10 15:20:23 UTC 2021","1000","","ubuntu2004-container","","","","QA 153","PCP QA Test No. 153

Check out pmafm/mkaf changes to no longer use file(1)



Copyright (c) 2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:17:16 UTC 2021","Fri Sep 10 15:17:25 UTC 2021","9000","","ubuntu1804-container","","","","QA 107","PCP QA Test No. 107

Check pmlc ""query"" command against the primary pmlogger



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:24:14 UTC 2021","Fri Sep 10 15:24:14 UTC 2021","0","","ubuntu2004-btf","","","","QA 004","PCP QA Test No. 004

exercise contexts for the live data from the pmcd



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
